# STRING,ENGLISH,SIMPLIFIED CHINESE
STR_GRF_NAME,China Set: Trains {VERSION_STRING},中国包：火车 {VERSION_STRING}
STR_NAME_RZ125G,RZ125G (Passenger Coach),RZ125G (客车)
STR_NAME_RZT25G,RZT25G (Passenger Coach),RZT25G (客车)
STR_NAME_YW25G,YW25G (Passenger Coach),YW25G (客车)
STR_NAME_RW25G,RW25G (Passenger Coach),RW25G (客车)
STR_NAME_RW25G_INT,RW25G (International Transport Version) (Passenger Coach),RW25G (国际联运版) (客车)
STR_NAME_CA25G,CA25G (Restaurant Car),CA25G (餐车)
STR_NAME_RW19K_1,RW19K First Generation (Passenger Coach),RW19K第一代 (客车)
STR_NAME_RW19K_2,RW19K Second and Third Generation (Passenger Coach),RW19K第二代及第三代 (客车)
STR_NAME_YZ25K,YZ25K (Passenger Coach),YZ25K (客车)
STR_NAME_RZ25K,RZ25K (Passenger Coach),RZ25K (客车)
STR_NAME_YW25K,YW25K (Passenger Coach),YW25K (客车)
STR_NAME_RW25K,RW25K (Passenger Coach),RW25K (客车)
STR_NAME_RW25K_PROTOTYPE,RW25K Prototype (Passenger Coach),RW25K长客实验版 (客车)
STR_NAME_SYZ25KLD,SYZ25K (Passenger Coach) (Low-Door),SYZ25K (客车) (低开门)
STR_NAME_SRZ25KLD,SRZ25K (Passenger Coach) (Low-Door),SRZ25K (客车) (低开门)
STR_NAME_SYZ25KHD,SYZ25K (Passenger Coach) (High-Door),SYZ25K (客车) (高开门)
STR_NAME_SRZ25KHD,SRZ25K (Passenger Coach) (High-Door),SRZ25K (客车) (高开门)
STR_NAME_SYW25KHD,SYW25K (Passenger Coach) (High-Door),SYW25K (客车) (高开门)
STR_NAME_SRW25KHD,SRW25K (Passenger Coach) (High-Door),SRW25K (客车) (高开门)
STR_NAME_SCA25KHD,SCA25K (Restaurant Car) (High-Door),SCA25K (餐车) (高开门)
STR_NAME_CA25K,CA25K (Restaurant Car),CA25K (餐车)
STR_NAME_RW19T,RW19T (Passenger Coach),RW19T (客车)
STR_NAME_RW19T_TANGGULA,RW19T "Tanggula" Tourist Train Set (Passenger Coach),RW19T "唐古拉号"旅游列车 (客车)
STR_NAME_YZ25T,YZ25T (Passenger Coach),YZ25T (客车)
STR_NAME_RZ25T,RZ25T (Passenger Coach),RZ25T (客车)
STR_NAME_RZXL25T,RZXL26T (Luggage Passenger Coach),RZXL25T (行李客车)
STR_NAME_YW25T,YW25T (Passenger Coach),YW25T (客车)
STR_NAME_RW25T,RW25T (Passenger Coach),RW25T (客车)
STR_NAME_RW25T_JT,RW25T (Coston Version for Jitong Railway) (Passenger Coach),RW25T (集通铁路定制版本) (客车)
STR_NAME_CA25T,CA25T (Restaurant Car),CA25T (餐车)
STR_NAME_YZ31,YZ31 (Passenger Coach),YZ31 (客车)
STR_NAME_XL18_4,XL18 (Gen4) (Luggage Car),XL18 (第四代) (行李车)
STR_NAME_XL18GEN5,XL18 (Gen5) (Luggage Car),XL18 (第五代) (行李车)
STR_NAME_XL21,XL21 (Luggage Car),XL21 (行李车)
STR_NAME_XL22,XL22 (Luggage Car),XL22 (行李车)
STR_NAME_XL25ML,XL25 (Mainline) (Luggage Car),XL25 (干线) (行李车)
STR_NAME_XL25B,XL25B (Luggage Car),XL25B (行李车)
STR_NAME_XL25G,XL25G (Luggage Car),XL25G (行李车)
STR_NAME_XL25K,XL25K (Luggage Car),XL25K (行李车)
STR_NAME_XL25T,XL25T (Luggage Car),XL25T (行李车)
STR_NAME_XL25T_SSPE,XL25T-SSPE (Luggage Car),XL25T-SSPE (行李车)
STR_NAME_UZ22,UZ22 (Railway Post Office),UZ22 (邮车)
STR_NAME_UZ25B,UZ25B (Railway Post Office),UZ25B (邮车)
STR_NAME_UZ25G,UZ25G (Railway Post Office),UZ25G (邮车)
STR_NAME_UZ25K,UZ25K (Railway Post Office),UZ25K (邮车)
STR_NAME_UZ25T,UZ25T (Railway Post Office),UZ25T (邮车)
STR_NAME_TZ,TZ (Air Conditioner Generator Car),TZ (空调发电车)
STR_NAME_TZ2,TZ2 (KD25G) (Air Conditioner Generator Car),TZ2 (KD25G) (空调发电车)
STR_NAME_KD25SM,KD25 (Sanshui-Maoming Railway) (Air Conditioner Generator Car),KD25 (三茂铁路) (空调发电车)
STR_NAME_KD25C,KD25C (Air Conditioner Generator Car),KD25C (空调发电车)
STR_NAME_KD25G,KD25G (Air Conditioner Generator Car),KD25G (空调发电车)
STR_NAME_KD25K,KD25K (Air Conditioner Generator Car),KD25K (空调发电车)
STR_NAME_KD25Z,KD25Z (Air Conditioner Generator Car),KD25Z (空调发电车)
STR_NAME_KD25T,KD25T (Air Conditioner Generator Car),KD25T (空调发电车)
STR_NAME_RZ125Z,RZ125Z (Passenger Coach),RZ125Z (客车)
STR_NAME_RZ225Z,RZ225Z (Passenger Coach),RZ225Z (客车)
STR_NAME_RZT25Z,RZT25Z (Passenger Coach),RZT25Z (客车)
STR_NAME_CA25Z,CA25Z (Restaurant Car),CA25Z (餐车)
STR_NAME_RZXL25Z,RZXL25Z (Luggage Passenger Coach),RZXL25Z (行李客车)
STR_NAME_SRZ125Z,SRZ125Z (Passenger Coach),SRZ125Z (客车)
STR_NAME_SRZ225Z,SRZ225Z (Passenger Coach),SRZ225Z (客车)
STR_NAME_SCA25Z,SCA25Z (Restaurant Car),SCA25Z (餐车)
STR_NAME_SRZXL25Z,SRZX125Z (Luggage Car),SRZX125Z (行李客车)
STR_NAME_YZ25DT_JINLUN,YZ25DT (JINLUN DMU) (Passenger Coach),YZ25DT (金轮号动车组) (客车)
STR_NAME_YW25DT_JINLUN,YW25DT (JINLUN DMU) (Passenger Coach),YW25DT (金轮号动车组) (客车)
STR_NAME_RW25DT_JINLUN,RW25DT (JINLUN DMU) (Passenger Coach),RW25DT (金轮号动车组) (客车)
STR_NAME_SYZ25DT_JINLUN,SYZ25DT (JINLUN DMU) (Passenger Coach),SYZ25DT (金轮号动车组) (客车)
STR_NAME_SRZ25DT_JINLUN,SRZ25DT (JINLUN DMU) (Passenger Coach),SRZ25DT (金轮号动车组) (客车)
STR_NAME_C1,C1 (Gondola),C1 (敞车)
STR_NAME_C11949,C1 (Mixed Model) (Gondola),C1 (杂型) (敞车)
STR_NAME_C11956,C1 (Redesigned) (Gondola),C1 (后生产型) (敞车)
STR_NAME_C62,C62 (Gondola),C62 (敞车)
STR_NAME_C64,C64 (Gondola),C64 (敞车)
STR_NAME_C70,C70 (Gondola),C70 (敞车)
STR_NAME_C80,C80 (Gondola),C80 (敞车)
STR_NAME_YAI,Yai (Boxcar),ヤイ (棚车)
STR_NAME_P1,P1 (Boxcar),P1 (棚车)
STR_NAME_P50,P50 (Boxcar),P50 (棚车)
STR_NAME_P60,P60 (Boxcar),P60 (棚车)
STR_NAME_P61,P61 (Boxcar),P61 (棚车)
STR_NAME_P62,P62 (Boxcar),P62 (棚车)
STR_NAME_P62N,P62N (Boxcar),P62N (棚车)
STR_NAME_P63,P63 (Boxcar),P63 (棚车)
STR_NAME_P64,P64 (Boxcar),P64 (棚车)
STR_NAME_P64A,P64A (Boxcar),P64A (棚车)
STR_NAME_P65,P65 (Boxcar),P65 (棚车)
STR_NAME_P66H,P66H (Boxcar),P66H (棚车)
STR_NAME_P70,P70 (Boxcar),P70 (棚车)
STR_NAME_P80,P80 (Boxcar),P80 (棚车)
STR_NAME_PB,PB (Boxcar),PB (棚车)
STR_NAME_W5,W5 (Boxcar for Toxic Good),W5 (有毒物品专用车)
STR_NAME_W5S,W5S (Boxcar for Toxic Good),W5S (有毒物品专用车)
STR_NAME_W5SK,W5SK (Boxcar for Toxic Good),W5SK (有毒物品专用车)
STR_NAME_W6,W6 (Boxcar for Toxic Good),W6 (有毒物品专用车)
STR_NAME_W6S,W6S (Boxcar for Toxic Good),W6S (有毒物品专用车)
STR_NAME_B6,B6 (Refrigerator Wagon),B6 (保温车)
STR_NAME_B22,B22 (Refrigerator Wagon),B22 (保温车)
STR_NAME_BH1,BH1 (Refrigerator Wagon),BH1 (保温车)
STR_NAME_G11,G11 (Tanker),G11 (罐车)
STR_NAME_G17,G17 (Tanker),G17 (罐车)
STR_NAME_G50,G50 (Tanker),G50 (罐车)
STR_NAME_G60,G60 (Tanker),G60 (罐车)
STR_NAME_G70,G70 (Tanker),G70 (罐车)
STR_NAME_G70A,G70A (Tanker),G70A (罐车)
STR_NAME_G70B,G70B (Tanker),G70B (罐车)
STR_NAME_GF1M,GF1M (Tanker),GF1M (罐车)
STR_NAME_GF70,GF70 (Tanker),GF70 (罐车)
STR_NAME_GH40LK,GH40LK (Tanker),GH40LK (罐车)
STR_NAME_GH65K,GH65K (Tanker),GH65K (罐车)
STR_NAME_GHA70,GHA70 (Tanker),GHA70 (罐车)
STR_NAME_GHA70A,GHA70A (Tanker),GHA70A (罐车)
STR_NAME_GH70B,GH70B (Tanker),GH70B (罐车)
STR_NAME_GN60,GN60 (Tanker),GN60 (罐车)
STR_NAME_GN70,GN70 (Tanker),GN70 (罐车)
STR_NAME_GN80,GN80 (Tanker),GN80 (罐车)
STR_NAME_GQ80,GQ80 (Tanker),GQ80 (罐车)
STR_NAME_GS,GS (Tanker),GS (罐车)
STR_NAME_BGW70,BGW70 (Tanker),BGW70 (罐车)
STR_NAME_N5,N5 (Flatcar),N5 (平车)
STR_NAME_N60,N60 (Flatcar),N60 (平车)
STR_NAME_NX17,NX17 (Flatcar),NX17 (平车)
STR_NAME_NX70A,NX70A (Flatcar),NX70A (平车)
STR_NAME_X2K,X2K (Flatcar for Containers),X2K (集装箱专用车)
STR_NAME_JSQ1,JSQ1 (Vehicle Transporter),JSQ1 (汽车运输车)
STR_NAME_JSQ5,JSQ5 (Vehicle Transporter),JSQ5 (汽车运输车)
STR_NAME_JSQ6,JSQ6 (Vehicle Transporter),JSQ6 (汽车运输车)
STR_NAME_L70,L70 (Hopper),L70 (粮食漏斗车)
STR_NAME_J5,J5 (Livestock Wagon),J5 (家畜运输车)
STR_NAME_MIKAI,Mikai (Steam),ミカイ (蒸汽)
STR_NAME_JF1,JF1 (Steam),JF1 (蒸汽)
STR_NAME_SL6,SL6 (Steam),SL6 (蒸汽)
STR_NAME_SL7,Pashina (Steam),パシナ/SL7（蒸汽）
STR_NAME_KD7,KD7 (Steam),KD7 (蒸汽)
STR_NAME_HP,HP (Steam),HP (蒸汽)
STR_NAME_QJ,QJ (Steam),QJ (蒸汽)
STR_NAME_SY,SY (Steam),SY (蒸汽)
STR_NAME_DF,DF (Diesel),DF (内燃)
STR_NAME_DF2,DF2 (Diesel Shunter),DF2 (内燃) (调车用)
STR_NAME_DF3,DF3 (Diesel),DF3 (内燃)
STR_NAME_DF4K,DF4 (Diesel) (Passenger Type),DF4 (内燃) (客运型)
STR_NAME_DF4H,DF4 (Diesel) (Freight Type),DF4 (内燃) (货运型)
STR_NAME_DF4BK,DF4B (Diesel) (Passenger Type),DF4B (内燃) (客运型)
STR_NAME_DF4BH,DF4B (Diesel) (Freight Type),DF4B (内燃) (货运型)
STR_NAME_DF4C,DF4C (Diesel),DF4C (内燃)
STR_NAME_DF4D0000,DF4D-0000 (Diesel),DF4D-0000 (内燃)
STR_NAME_DF4DF,DF4DF (Diesel),DF4DF (内燃)
STR_NAME_DF4D3000,DF4D-3000 (Diesel),DF4D-3000 (内燃)
STR_NAME_DF4D4000,DF4D-4000 (Diesel),DF4D-4000 (内燃)
STR_NAME_DF4D7000,DF4D-7000 (Diesel),DF4D-7000 (内燃)
STR_NAME_DF4E,DF4E (Diesel),DF4E (内燃)
STR_NAME_DF5KZ,DF5 (Diesel Shunter),DF5 (内燃) (调车用)
STR_NAME_DF5,DF5-1000 (Diesel Shunter),DF5-1000 (内燃) (调车用)
STR_NAME_DF7D,DF7D (Diesel),DF7D (内燃)
STR_NAME_DF7D3000,DF7D-3000 (Diesel),DF7D-3000 (内燃)
STR_NAME_DF7G,DF7G (Diesel Shunter),DF7G (内燃) (调车用)
STR_NAME_DF7G5000,DF7G-5000 (Diesel Shunter),DF7G-5000 (内燃) (调车用)
STR_NAME_DF7G8000,DF7G-8000 (Diesel Shunter),DF7G-8000 (内燃) (调车用)
STR_NAME_DF8,DF8 (Diesel),DF8（内燃）
STR_NAME_DF8B,DF8B (Diesel),DF8B (内燃)
STR_NAME_DF9,DF9 (Diesel),DF9 (内燃)
STR_NAME_DF10,DF10 (Diesel),DF10 (内燃)
STR_NAME_DF11,DF11 (Diesel),DF11 (内燃)
STR_NAME_DF11PLATEAU,DF11 (Diesel) (Pateau Type),DF11 (内燃) (高原型)
STR_NAME_DF11G,DF11G (Diesel),DF11G (内燃)
STR_NAME_DF11Z,DF11Z (Diesel),DF11Z (内燃)
STR_NAME_NY1,"NY1 ""Weixing"" (Diesel)","NY1 ""卫星""型 (内燃)"
STR_NAME_DFH1_EARLY,DFH1 (Diesel)  (Early Version),DFH1 (内燃) (早期型)
STR_NAME_DFH1_LATE,DFH1 (Diesel)  (Late Version),DFH1 (内燃) (晚期型)
STR_NAME_DFH3,DFH3 (Diesel),DFH3 (内燃)
STR_NAME_DFH7,DFH7 (Diesel Shunter),DFH7 (内燃) (调车用)
STR_NAME_BEIJING_PASSENGER,Beijing (Diesel) (Passenger Type),北京 (内燃)  (客运型)
STR_NAME_BEIJING_FREIGHT,Beijing (Diesel) (Freight Type),北京 (内燃)  (货运型)
STR_NAME_BEIJING_SPECIAL,Beijing (Diesel) (Special Type),北京 (内燃)  (专运型)
STR_NAME_BEIJING_RECONNECT_FREIGHT,Beijing (Diesel) (Reconnect Freight Type),北京 (内燃)  (重联货运型)
STR_NAME_ND2,ND2 (Diesel),ND2（内燃）
STR_NAME_ND4,ND4 (Diesel),ND4 (内燃)
STR_NAME_ND5,ND5 (Diesel),ND5 (内燃)
STR_NAME_NJ2,NJ2 (Diesel),NJ2 (内燃)
STR_NAME_NY5_PASSENGER,NY5 (Diesel) (Passenger Type),NY5 (内燃) (客运型)
STR_NAME_NY5_FREIGHT,NY5 (Diesel) (Freight Type),NY5 (内燃) (货运型)
STR_NAME_NY6,NY6 (Diesel),NY6 (内燃)
STR_NAME_NY7,NY7 (Diesel),NY7 (内燃)
STR_NAME_HXN3,HXN3 (Diesel),HXN3 (内燃)
STR_NAME_HXN3QZ,HXN3 (Diesel) (Plateau Type),HXN3 (内燃) (高原型)
STR_NAME_HXN5,HXN5 (Diesel),HXN5 (内燃)
STR_NAME_HXN5B,HXN5B (Diesel),HXN5B (内燃)
STR_NAME_FXN3C,FXN3C (Diesel),FXN3C (内燃)
STR_NAME_FXN5C,FXN5C (Diesel),FXN5C (内燃)
STR_NAME_GC160,GC160 (Diesel Railbus),GC160 (内燃轨道车)
STR_NAME_GC220,GC220 (Diesel Railbus),GC220 (内燃轨道车)
STR_NAME_JY600,JY600 (Diesel Shunter),JY600 (内燃) (调车用)
STR_NAME_SS1,SS1 (Electric),SS1 (电力)
STR_NAME_SS3,SS3 (Electric),SS3 (电力)
STR_NAME_SS3B,SS3B (Electric),SS3B (电力)
STR_NAME_SS4,SS4 (Electric),SS4 (电力)
STR_NAME_SS4B,SS4B (Electric),SS4B (电力)
STR_NAME_SS4C,SS4C (Electric),SS4C (电力)
STR_NAME_SS4G,SS4G (Electric),SS4G (电力)
STR_NAME_SS5,SS5 (Electric),SS5 (电力)
STR_NAME_SS6,SS6 (Electric),SS6 (电力)
STR_NAME_SS6B,SS6B (Electric),SS6B (电力)
STR_NAME_SS7,SS7 (Electric),SS7 (电力)
STR_NAME_SS7B,SS7B (Electric),SS7B (电力)
STR_NAME_SS7C,SS7C (Electric),SS7C (电力)
STR_NAME_SS7D,SS7D (Electric),SS7D (电力)
STR_NAME_SS7E,SS7E (Electric),SS7E (电力)
STR_NAME_SS8,SS8 (Electric),SS8 (电力)
STR_NAME_SS9,SS9 (Electric),SS9 (电力)
STR_NAME_SS9G,SS9G (Electric),SS9G (电力)
STR_NAME_6Y2,6Y2 (Electric),6Y2 (电力)
STR_NAME_6K,6K (Electric),6K (电力)
STR_NAME_8K,8K (Electric),8K (电力)
STR_NAME_DJ1,DJ1 (Electric),DJ1 (电力)
STR_NAME_HXD1,HXD1 (Electric),HXD1 (电力)
STR_NAME_HXD11000,HXD1-1000 (Electric),HXD1-1000 (电力)
STR_NAME_HXD1B,HXD1B (Electric),HXD1B (电力)
STR_NAME_HXD1C,HXD1C (Electric),HXD1C (电力)
STR_NAME_HXD1D,HXD1D (Electric),HXD1D (电力)
STR_NAME_HXD2,HXD2 (Electric),HXD2 (电力)
STR_NAME_HXD2B,HXD2B (Electric),HXD2B (电力)
STR_NAME_HXD2D,HXD2D (Electric),HXD2D (电力)
STR_NAME_HXD21000,HXD2-1000 (Electric),HXD2-1000 (电力)
STR_NAME_HXD3,HXD3 (Electric),HXD3 (电力)
STR_NAME_HXD3C,HXD3C (Electric),HXD3C (电力)
STR_NAME_HXD3D,HXD3D (Electric),HXD3D (电力)
STR_NAME_FXD1B,FXD1B (Electric),FXD1B (电力)
STR_NAME_FXD1B1000,FXD1B-1000 (Electric),FXD1B-1000 (电力)
STR_NAME_FXD2B,FXD2B (Electric),FXD2B (电力)
STR_NAME_FXD2B1000,FXD2B-1000 (Electric),FXD2B-1000 (电力)
STR_NAME_CHA1C,CHA1C (Hybrid),CHA1C (混合动力)
STR_NAME_NC3,NC3 (DMU),NC3 (内燃动车)
STR_NAME_NZJ1_XINSHUGUANG,"NZJ1 ""Xinshuguang"" (DMU)","NZJ1 ""新曙光号"" (内燃动车)"
STR_NAME_NZJ2_JINLUN_UNILAMINAR,"NZJ2 ""Jinlun"" (UNILAMINAR) (DMU)","NZJ2 ""金轮号"" (单层) (内燃动车)"
STR_NAME_NZJ2_JINLUN_DOUBLE_DECKER,"NZJ2 ""Jinlun"" (DOUBLE DECKER) (DMU)","NZJ2 ""金轮号"" (双层) (内燃动车)"
STR_NAME_NDJ3,"NDJ3 ""Great Wall"" (DMU)","NDJ3 ""长城号"" (内燃动车)"
STR_NAME_X2000,X2000 (EMU),X2000 (电力动车)
