# STRING,ENGLISH,SIMPLIFIED CHINESE
STR_GRF_NAME,China Set: Trains {VERSION_STRING},中国包：火车 {VERSION_STRING}
STR_NAME_RW25DT_JINLUN,RW25DT (JINLUN DMU) (Passenger Coach),RW25DT (金轮号动车组) (客车)
STR_NAME_SYZ25DT_JINLUN,SYZ25DT (JINLUN DMU) (Passenger Coach),SYZ25DT (金轮号动车组) (客车)
STR_NAME_SRZ25DT_JINLUN,SRZ25DT (JINLUN DMU) (Passenger Coach),SRZ25DT (金轮号动车组) (客车)
STR_NAME_C62,C62 (Gondola),C62 (敞车)
STR_NAME_C64,C64 (Gondola),C64 (敞车)
STR_NAME_C70,C70 (Gondola),C70 (敞车)
STR_NAME_P50,P50 (Boxcar),P50 (棚车)
STR_NAME_P60,P60 (Boxcar),P60 (棚车)
STR_NAME_P61,P61 (Boxcar),P61 (棚车)
STR_NAME_P62,P62 (Boxcar),P62 (棚车)
STR_NAME_P63,P63 (Boxcar),P63 (棚车)
STR_NAME_P64,P64 (Boxcar),P64 (棚车)
STR_NAME_P65,P65 (Boxcar),P65 (棚车)
STR_NAME_P70,P70 (Boxcar),P70 (棚车)
STR_NAME_P80,P80 (Boxcar),P80 (棚车)
STR_NAME_PB,PB (Boxcar),PB (棚车)
STR_NAME_B6,B6 (Refrigerator Wagon),B6 (保温车)
STR_NAME_B22,B22 (Refrigerator Wagon),B22 (保温车)
STR_NAME_G17,G17 (Tanker),G17 (罐车)
STR_NAME_G50,G50 (Tanker),G50 (罐车)
STR_NAME_G60,G60 (Tanker),G60 (罐车)
STR_NAME_GN70,GN70 (Tanker),GN70 (罐车)
STR_NAME_GN80,GN80 (Tanker),GN80 (罐车)
STR_NAME_N5,N5 (Flatcar),N5 (平车)
STR_NAME_N60,N60 (Flatcar),N60 (平车)
STR_NAME_NX17,NX17 (Flatcar),NX17 (平车)
STR_NAME_NX70A,NX70A (Flatcar),NX70A (平车)
STR_NAME_JSQ5,JSQ5 (Vehicle Transporter),JSQ5 (汽车运输车)
STR_NAME_JSQ6,JSQ6 (Vehicle Transporter),JSQ6 (汽车运输车)
STR_NAME_L70,L70 (Hopper),L70 (粮食漏斗车)
STR_NAME_J5,J5 (Livestock Wagon),J5 (家畜运输车)
STR_NAME_SY,SY (Steam),SY (蒸汽)
STR_NAME_DF,DF (Diesel),DF (内燃)
STR_NAME_DF4K,DF4 (Diesel) (Passenger Type),DF4 (内燃) (客运型)
STR_NAME_DF4H,DF4 (Diesel) (Freight Type),DF4 (内燃) (货运型)
STR_NAME_DF4BK,DF4B (Diesel) (Passenger Type),DF4B (内燃) (客运型)
STR_NAME_DF4BH,DF4B (Diesel) (Freight Type),DF4B (内燃) (货运型)
STR_NAME_DF4C,DF4C (Diesel),DF4C (内燃)
STR_NAME_DF4D0000,DF4D-0000 (Diesel),DF4D-0000 (内燃)
STR_NAME_DF4DF,DF4DF (Diesel),DF4DF (内燃)
STR_NAME_DF4D3000,DF4D-3000 (Diesel),DF4D-3000 (内燃)
STR_NAME_DF4D4000,DF4D-4000 (Diesel),DF4D-4000 (内燃)
STR_NAME_DF4D7000,DF4D-7000 (Diesel),DF4D-7000 (内燃)
STR_NAME_DF4E,DF4E (Diesel),DF4E (内燃)
STR_NAME_DF5KZ,DF5 (Diesel Shunter),DF5 (内燃) (调车用)
STR_NAME_DF5,DF5-1000 (Diesel Shunter),DF5-1000 (内燃) (调车用)
STR_NAME_DF7G,DF7G (Diesel Shunter),DF7G (内燃) (调车用)
STR_NAME_DF7G5000,DF7G-5000 (Diesel Shunter),DF7G-5000 (内燃) (调车用)
STR_NAME_DF7G8000,DF7G-8000 (Diesel Shunter),DF7G-8000 (内燃) (调车用)
STR_NAME_DFH7,DFH7 (Diesel),DFH7 (内燃) (调车用)
STR_NAME_DF8B,DF8B (Diesel),DF8B (内燃)
STR_NAME_DF11,DF11 (Diesel),DF11 (内燃)
STR_NAME_DF11G,DF11G (Diesel),DF11G (内燃)
STR_NAME_DF11Z,DF11Z (Diesel),DF11Z (内燃)
STR_NAME_ND5,ND5 (Diesel),ND5 (内燃)
STR_NAME_NJ2,NJ2 (Diesel),NJ2 (内燃)
STR_NAME_HXN3,HXN3 (Diesel),HXN3 (内燃)
STR_NAME_HXN3QZ,HXN3 (Diesel) (Plateau Type),HXN3 (内燃) (高原型)
STR_NAME_HXN5,HXN5 (Diesel),HXN5 (内燃)
STR_NAME_HXN5B,HXN5B (Diesel),HXN5B (内燃)
STR_NAME_SS1,SS1 (Electric),SS1 (电力)
STR_NAME_SS3,SS3 (Electric),SS3 (电力)
STR_NAME_SS3B,SS3B (Electric),SS3B (电力)
STR_NAME_SS4,SS4 (Electric),SS4 (电力)
STR_NAME_SS4B,SS4B (Electric),SS4B (电力)
STR_NAME_SS4C,SS4C (Electric),SS4C (电力)
STR_NAME_SS4G,SS4G (Electric),SS4G (电力)
STR_NAME_SS5,SS5 (Electric),SS5 (电力)
STR_NAME_SS6,SS6 (Electric),SS6 (电力)
STR_NAME_SS6B,SS6B (Electric),SS6B (电力)
STR_NAME_SS7,SS7 (Electric),SS7 (电力)
STR_NAME_SS7B,SS7B (Electric),SS7B (电力)
STR_NAME_SS7C,SS7C (Electric),SS7C (电力)
STR_NAME_SS7D,SS7D (Electric),SS7D (电力)
STR_NAME_SS7E,SS7E (Electric),SS7E (电力)
STR_NAME_SS8,SS8 (Electric),SS8 (电力)
STR_NAME_SS9,SS9 (Electric),SS9 (电力)
STR_NAME_SS9G,SS9G (Electric),SS9G (电力)
STR_NAME_6Y2,6Y2 (Electric),6Y2 (电力)
STR_NAME_HXD1,HXD1 (Electric),HXD1 (电力)
STR_NAME_HXD11000,HXD1-1000 (Electric),HXD1-1000 (电力)
STR_NAME_HXD1B,HXD1B (Electric),HXD1B (电力)
STR_NAME_HXD1D,HXD1D (Electric),HXD1D (电力)
STR_NAME_HXD2,HXD2 (Electric),HXD2 (电力)
STR_NAME_HXD21000,HXD2-1000 (Electric),HXD2-1000 (电力)
STR_NAME_HXD3C,HXD3C (Electric),HXD3C (电力)
STR_NAME_HXD3D,HXD3D (Electric),HXD3D (电力)
STR_NAME_FXD1B,FXD1B (Electric),FXD1B (电力)
STR_NAME_CHA1C,CHA1C (Hybrid),CHA1C (混合动力)
STR_NAME_NC3,NC3 (DMU),NC3 (内燃动车)
STR_NAME_NZJ1_XINSHUGUANG,"NZJ1 ""Xinshuguang"" (DMU)","NZJ1 ""新曙光号"" (内燃动车)"
STR_NAME_NZJ2_JINLUN_UNILAMINAR,"NZJ2 ""Jinlun"" (UNILAMINAR) (DMU)","NZJ2 ""金轮号"" (单层) (内燃动车)"
STR_NAME_NZJ2_JINLUN_DOUBLE_DECKER,"NZJ2 ""Jinlun"" (DOUBLE DECKER) (DMU)","NZJ2 ""金轮号"" (双层) (内燃动车)"
STR_NAME_NDJ3,"NDJ3 ""Great Wall"" (DMU)","NDJ3 ""长城号"" (内燃动车)"
STR_NAME_DJJ1,"DJJ1 ""Blue Arrow"" (EMU)","DJJ1 ""蓝箭"" (电力动车)"
STR_NAME_DJJ2,"DJJ2 ""China Star"" (EMU)","DJJ2 ""中华之星"" (电力动车)"
STR_NAME_DJF3,"DJF3 ""Changbai Mount"" (EMU)","DJF3 ""长白山号"" (电力动车)"
STR_NAME_CR200JA,CR200J-A (EMU),CR200J-A (电力动车)
STR_NAME_CR200JAL,CR200J-A (Long Version) (EMU),CR200J-A (长编组) (电力动车)
STR_NAME_CR200JB,CR200J-B (EMU),CR200J-B (电力动车)
STR_NAME_CR200JC,CR200J-C (EMU),CR200J-C (电力动车)
STR_NAME_CR200JCL,CR200J-C (Long Version) (EMU),CR200J-C (长编组) (电力动车)
STR_NAME_CRH1A,CRH1A (EMU),CRH1A (电力动车)
STR_NAME_CRH1B,CRH1B (Long Version) (EMU),CRH1B (电力动车)
STR_NAME_CRH1E,CRH1E (EMU),CRH1E (电力动车)
STR_NAME_CRH1AA,CRH1A-A (EMU),CRH1A-A (长编组) (电力动车)
STR_NAME_CRH2A,CRH2A (EMU),CRH2A (电力动车)
STR_NAME_CRH2B,CRH2B (Long Version) (EMU),CRH2B (长编组) (电力动车)
STR_NAME_CRH2C,CRH2C (EMU),CRH2C (电力动车)
STR_NAME_CRH2E,CRH2E (EMU),CRH2E (电力动车)
STR_NAME_CRH2G,CRH2G (EMU),CRH2G (电力动车)
STR_NAME_CRH2ELS,CRH2E (Longitudinal Sleeper) (EMU),CRH2E (纵向卧铺) (电力动车)
STR_NAME_CRH3A,CRH3A (EMU),CRH3A (电力动车)
STR_NAME_CRH3C,CRH3C (EMU),CRH3C (电力动车)
STR_NAME_CRH5A,CRH5A (EMU),CRH5A (电力动车)
STR_NAME_CRH380A,CRH380A (EMU),CRH380A (电力动车)
STR_NAME_CRH380AL,CRH380AL (Long Version) (EMU),CRH380AL (长编组) (电力动车)
STR_NAME_CRH380B,CRH380B (EMU),CRH380B (电力动车)
STR_NAME_CRH380CL,CRH380CL (EMU),CRH380CL (电力动车)
STR_NAME_CRH380D,CRH380D (EMU),CRH380D (电力动车)
STR_NAME_CR300AF,CR300AF (EMU),CR300AF (电力动车)
STR_NAME_CR300BF,CR300BF (EMU),CR300BF (电力动车)
STR_NAME_CR400AF,CR400AF (EMU),CR400AF (电力动车)
STR_NAME_CR400AFAB,CR400AF-A/B (Long Version) (EMU),CR400AF-A/B (长编组) (电力动车)
STR_NAME_CR400AFZ,CR400AF-C/Z/S (Intelligent EMU),CR400AF-C/Z/S (智能动车)
STR_NAME_CR400AFABZ,CR400AF-AZ/BZ/BS (Long Version) (Intelligent EMU),CR400AF-AZ/BZ/BS (长编组) (智能动车)
STR_NAME_CR400BF,CR400BF (EMU),CR400BF (电力动车)
STR_NAME_CR400BFAB,CR400BF-A/B (Long Version) (EMU),CR400AF-A/B (长编组) (电力动车)
STR_NAME_CR400BFC,CR400BF-C (Intelligent EMU),CR400BF-C (智能动车)
STR_NAME_CR400BFZ,CR400BF-Z/S (Intelligent EMU),CR400BF-Z/S (智能动车)
STR_NAME_CR400BFABZ,CR400BF-AZ/BZ/BS (Intelligent EMU),CR400BF-AZ/BZ/BS (长编组) (智能动车)
STR_NAME_CRH6A2,CRH6A (2-Door Version) (EMU),CRH6A (二门版) (电力动车)
STR_NAME_CRH6A3,CRH6A (3-Door Version) (EMU),CRH6A (三门版) (电力动车)
STR_NAME_CRH6AA,CRH6A-A (Section) (EMU),CRH6A-A (整节) (电力动车)
STR_NAME_CRH6F,CRH6F (EMU),CRH6F (电力动车)
STR_NAME_ZEMUW,2nd-Class (ZE) MU Wagon,动车组二等座车厢
STR_NAME_ZYMUW,1st-Class (ZY) MU Wagon,动车组一等座车厢
STR_NAME_ZSMUW,Business-Class (ZS) MU Wagon,动车组商务座车厢
STR_NAME_SWMUW,Luxury-Business-Class (SW) MU Wagon,动车组商务座车厢 (复兴号智能动车组标准)
STR_NAME_ZECMUW,2nd-Class Restaurant Combined (ZEC) MU Wagon,动车组二等座/餐车合造车厢
STR_NAME_WEMUW,2nd-Class Sleeper (WE) MU Wagon,动车组二等卧铺车厢
STR_NAME_WYMUW,1st-Class Sleeper (WY) MU Wagon,动车组一等卧铺车厢
STR_NAME_WGMUW,Top-Class Sleeper (WG) MU Wagon,动车组高级软卧车厢
# Full Name,,
STR_FULL_NAME_YZ22,{BLACK}FULLNAME: {GOLD}22 Type Hard Seat Passenger Coach,{BLACK}全称：{GOLD}22型硬座客车
STR_FULL_NAME_RZ22,{BLACK}FULLNAME: {GOLD}22 Type Soft Seat Passenger Coach,{BLACK}全称：{GOLD}22型软座客车
STR_FULL_NAME_YW22,{BLACK}FULLNAME: {GOLD}22 Type Hard Sleeper Passenger Coach,{BLACK}全称：{GOLD}22型硬卧客车
STR_FULL_NAME_RW22,{BLACK}FULLNAME: {GOLD}22 Type Soft Sleeper Passenger Coach,{BLACK}全称：{GOLD}22型软卧客车
STR_FULL_NAME_YZ22AIRCON,{BLACK}FULLNAME: {GOLD}22 Type Hard Seat Passenger Coach (Air-conditioned),{BLACK}全称：{GOLD}22型硬座客车 (加装空调)
STR_FULL_NAME_RZ22AIRCON,{BLACK}FULLNAME: {GOLD}22 Type Soft Seat Passenger Coach (Air-conditioned),{BLACK}全称：{GOLD}22型软座客车 (加装空调)
STR_FULL_NAME_YW22AIRCON,{BLACK}FULLNAME: {GOLD}22 Type Hard Sleeper Passenger Coach (Air-conditioned),{BLACK}全称：{GOLD}22型硬卧客车 (加装空调)
STR_FULL_NAME_RW22AIRCON,{BLACK}FULLNAME: {GOLD}22 Type Soft Sleeper Passenger Coach (Air-conditioned),{BLACK}全称：{GOLD}22型软卧客车 (加装空调)
STR_FULL_NAME_CA23,{BLACK}FULLNAME: {GOLD}23 Type Restaurant Car,{BLACK}全称：{GOLD}23型餐车
STR_FULL_NAME_CA23AIRCON,{BLACK}FULLNAME: {GOLD}23 Type Restaurant Car (Air-conditioned),{BLACK}全称：{GOLD}23型餐车 (加装空调)
STR_FULL_NAME_YZ22B,{BLACK}FULLNAME: {GOLD}22B Type Hard Seat Passenger Coach,{BLACK}全称：{GOLD}22B型硬座客车
STR_FULL_NAME_YW22B,{BLACK}FULLNAME: {GOLD}22B Type Hard Sleeper Passenger Coach,{BLACK}全称：{GOLD}22B型硬卧客车
STR_FULL_NAME_RW22B,{BLACK}FULLNAME: {GOLD}22B Type Soft Sleeper Passenger Coach,{BLACK}全称：{GOLD}22B型软卧客车
STR_FULL_NAME_YZ25ML,{BLACK}FULLNAME: {GOLD}25m Mainline Hard Seat Passenger Coach,{BLACK}全称：{GOLD}干线25型硬座客车
STR_FULL_NAME_RZ25ML,{BLACK}FULLNAME: {GOLD}25m Mainline Soft Seat Passenger Coach,{BLACK}全称：{GOLD}干线25型软座客车
STR_FULL_NAME_YW25ML,{BLACK}FULLNAME: {GOLD}25m Mainline Hard Sleeper Passenger Coach,{BLACK}全称：{GOLD}干线25型硬卧客车
STR_FULL_NAME_RW25ML,{BLACK}FULLNAME: {GOLD}25m Mainline Soft Sleeper Passenger Coach,{BLACK}全称：{GOLD}干线25型软卧客车
STR_FULL_NAME_CA25ML,{BLACK}FULLNAME: {GOLD}25m Mainline Restaurant Car,{BLACK}全称：{GOLD}干线25型餐车
STR_FULL_NAME_YZ25B,{BLACK}FULLNAME: {GOLD}25m Standard Hard Seat Passenger Coach,{BLACK}全称：{GOLD}25米标准型硬座客车
STR_FULL_NAME_RZ25B,{BLACK}FULLNAME: {GOLD}25m Standard Soft Seat Passenger Coach,{BLACK}全称：{GOLD}25米标准型软座客车
STR_FULL_NAME_YW25B,{BLACK}FULLNAME: {GOLD}25m Standard Hard Sleeper Passenger Coach,{BLACK}全称：{GOLD}25米标准型硬卧客车
STR_FULL_NAME_RW25B,{BLACK}FULLNAME: {GOLD}25m Standard Soft Sleeper Passenger Coach,{BLACK}全称：{GOLD}25米标准型软卧客车
STR_FULL_NAME_SYZ25B,{BLACK}FULLNAME: {GOLD}25m Standard Double Decker Hard Seat Passenger Coach,{BLACK}全称：{GOLD}25米标准型双层硬座客车
STR_FULL_NAME_SRZ25B,{BLACK}FULLNAME: {GOLD}25m Standard Double Decker Soft Seat Passenger Coach,{BLACK}全称：{GOLD}25米标准型双层软座客车
STR_FULL_NAME_SYW25B,{BLACK}FULLNAME: {GOLD}25m Standard Double Decker Hard Sleeper Passenger Coach,{BLACK}全称：{GOLD}25米标准型双层硬卧客车
STR_FULL_NAME_SRW25B,{BLACK}FULLNAME: {GOLD}25m Standard Double Decker Soft Sleeper Passenger Coach,{BLACK}全称：{GOLD}25米标准型双层软卧客车
STR_FULL_NAME_YZ25G,{BLACK}FULLNAME: {GOLD}25m Improved Hard Seat Passenger Coach,{BLACK}全称：{GOLD}25米改进型硬座客车
STR_FULL_NAME_RZ25G,{BLACK}FULLNAME: {GOLD}25m Improved Soft Seat Passenger Coach,{BLACK}全称：{GOLD}25米改进型软座客车
STR_FULL_NAME_YW25G,{BLACK}FULLNAME: {GOLD}25m Improved Hard Sleeper Passenger Coach,{BLACK}全称：{GOLD}25米改进型硬卧客车
STR_FULL_NAME_RW25G,{BLACK}FULLNAME: {GOLD}25m Improved Soft Sleeper Passenger Coach,{BLACK}全称：{GOLD}25米改进型软卧客车
STR_FULL_NAME_CA25G,{BLACK}FULLNAME: {GOLD}25m Improved Restaurant Car,{BLACK}全称：{GOLD}25米改进型餐车
STR_FULL_NAME_RW19K,{BLACK}FULLNAME: {GOLD}19K Type Soft Sleeper Passenger Coach (2 berth),{BLACK}全称：{GOLD}19K型高级软卧客车
STR_FULL_NAME_YZ25K,{BLACK}FULLNAME: {GOLD}25m Rapid Hard Seat Passenger Coach,{BLACK}全称：{GOLD}25米快速型硬座客车
STR_FULL_NAME_RZ25K,{BLACK}FULLNAME: {GOLD}25m Rapid Soft Seat Passenger Coach,{BLACK}全称：{GOLD}25米快速型软座客车
STR_FULL_NAME_YW25K,{BLACK}FULLNAME: {GOLD}25m Rapid Hard Sleeper Passenger Coach,{BLACK}全称：{GOLD}25米快速型硬卧客车
STR_FULL_NAME_RW25K,{BLACK}FULLNAME: {GOLD}25m Rapid Soft Sleeper Passenger Coach,{BLACK}全称：{GOLD}25米快速型软卧客车
STR_FULL_NAME_SYZ25K,{BLACK}FULLNAME: {GOLD}25m Rapid Double Decker Hard Seat Passenger Coach,{BLACK}全称：{GOLD}25米快速型双层硬座客车
STR_FULL_NAME_SRZ25K,{BLACK}FULLNAME: {GOLD}25m Rapid Double Decker Soft Seat Passenger Coach,{BLACK}全称：{GOLD}25米快速型双层软座客车
STR_FULL_NAME_SYW25K,{BLACK}FULLNAME: {GOLD}25m Rapid Double Decker Hard Sleeper Passenger Coach,{BLACK}全称：{GOLD}25米快速型双层硬卧客车
STR_FULL_NAME_SRW25K,{BLACK}FULLNAME: {GOLD}25m Rapid Double Decker Soft Sleeper Passenger Coach,{BLACK}全称：{GOLD}25米快速型双层软卧客车
STR_FULL_NAME_SCA25K,{BLACK}FULLNAME: {GOLD}25m Rapid Double Decker Restaurant Car,{BLACK}全称：{GOLD}25米快速型双层餐车
