name,id,num_id,long_name,long_name_fin,int_y,model_life,speed,cargo_allow,cargo_disallow,cc_allow,cc_disallow,capacity,Capacity (litres),loading_speed,cargo_age_period,weight,pur_cost,Est. buy cost,Purchase cost (real/est),"Running cost (real, est, â‚?km)",run_cost,Est. run. cost,Stats,Drawn,Coded,Total,Artist,Set of liveries,Paint scheme change,No. of refit graphics,Animated,Misc data,Source mat.,ADD_TEXT,STR_ADD_MANUFACTURER,STR_ADD_BOGIES,STR_ADD_UIC_AXLE_ORDER
Simn-t,simnt,809,Simn-t (STR_PUR_SLIDING_ROOF_WAGON),Simn-t-siirtokatevaunu,2003,INF,120,,WOOD,"CC_EXPRESS, CC_PIECE_GOODS, CC_HAZARDOUS, CC_COVERED","CC_REFRIGERATED, CC_OVERSIZED",72,,5,185,28,20,"$5,000 ","$120,000 ",0.2,8,$162.50 ,100.00%,100.00%,100.00%,100.00%,,1,,4,Yes,,vaunut.org,,VR Pm Knp,K17,2'2'
Gbln,gbln,810,Gbln (STR_PUR_COVERED_WAGON),Gbln-yleisvaunu,1995,30,120,,WOOD,"CC_EXPRESS, CC_PIECE_GOODS, CC_HAZARDOUS, CC_COVERED","CC_REFRIGERATED, CC_OVERSIZED",30,,5,208,14,9,"$2,250 ","$55,000 ",0.1,4,$81.25 ,100.00%,100.00%,100.00%,100.00%,DanMacK,1,,6,Yes,"
",vaunut.org,,VR Pm Knp,,2
Gbln-t,gblnt,811,Gbln-t  (STR_PUR_COVERED_WAGON),"Gbln-t, yleisvaunu",1999,INF,120,,WOOD,"CC_EXPRESS, CC_PIECE_GOODS, CC_HAZARDOUS, CC_COVERED","CC_REFRIGERATED, CC_OVERSIZED",30,,5,208,15,9,"$2,250 ","$55,000 ",0.1,4,$81.25 ,100.00%,100.00%,100.00%,100.00%,DanMacK,1,,,Yes,,vaunut.org,,VR Pm Knp,,2
Hain,hain,812,Hain (STR_PUR_COVERED_CELLULOSE_WAGON),Hain-selluloosavaunu,1998,INF,120,"BDMT, ENSP, MNSP, PAPR, WDPR",WOOD,,,64,,5,231,25,17,"$4,250 ","$105,000 ",0.15,6,$121.88 ,100.00%,100.00%,100.00%,100.00%,DanMacK,1,,4,Yes,"If ECS not used, PAPR default arctic, STEL default temperate

",vaunut.org,,VR Pm Knp,K14,2'2'
Habbin,habbin,813,Habbin (STR_PUR_COVERED_LUMBER_WAGON),Habbin-sahatavaravaunu,2003,INF,120,"BDMT, ENSP, MNSP, PAPR, WDPR",WOOD,,,70,,5,231,30,19,"$4,750 ","$115,000 ",0.2,8,$162.50 ,100.00%,0.00%,50.00%,50.00%,,1,,4,Yes,"If ECS not used, PAPR default arctic, STEL default temperate

",vaunut.org,,VR Pm Knp,K17,2'2'
Habis 1,habis1,814,Habis 1 (STR_PUR_COVERED_WAGON) (Railship),Habis-yleisvaunu (Railship),1975,30,100,,WOOD,"CC_EXPRESS, CC_PIECE_GOODS, CC_HAZARDOUS, CC_COVERED","CC_REFRIGERATED, CC_OVERSIZED",53,,5,185,27,22,"$5,500 ","$75,000 ",0.15,6,$121.88 ,100.00%,0.00%,0.00%,33.33%,-,1,,,Yes,Length 18.76 metres,vaunut.org,,,K16 / LHB 82,2'2'
Habis 6,habis6,815,Habis 6 (STR_PUR_COVERED_WAGON) (Railship),Habis 6-yleisvaunu (Railship),1981,30,100,,WOOD,"CC_EXPRESS, CC_PIECE_GOODS, CC_HAZARDOUS, CC_COVERED","CC_REFRIGERATED, CC_OVERSIZED",53,,5,185,27,22,"$5,500 ","$79,000 ",0.15,6,$121.88 ,100.00%,0.00%,0.00%,33.33%,-,1,,,Yes,Length 21.97 metres,vaunut.org,,,K16 / LHB 82,2'2'
Habis 8,habis8,816,Habis 8 (STR_PUR_COVERED_WAGON) (Railship),Habis 8-yleisvaunu (Railship),1981,30,100,,WOOD,"CC_EXPRESS, CC_PIECE_GOODS, CC_HAZARDOUS, CC_COVERED","CC_REFRIGERATED, CC_OVERSIZED",52,,5,185,28,23,"$5,750 ","$82,000 ",0.15,6,$121.88 ,100.00%,0.00%,0.00%,33.33%,-,1,,,Yes,Length 21.98 metres,vaunut.org,,,K16 / LHB 82,2'2'
Habins,habins,817,Habins (STR_PUR_COVERED_WAGON) (Railship),Habins-yleisvaunu (Railship),1985,30,100,,WOOD,"CC_EXPRESS, CC_PIECE_GOODS, CC_HAZARDOUS, CC_COVERED","CC_REFRIGERATED, CC_OVERSIZED",63,,5,185,27,22,"$5,500 ","$80,000 ",0.15,6,$121.88 ,100.00%,0.00%,0.00%,33.33%,-,1,,,Yes,,vaunut.org,,,K16 / LHB 82,2'2'
Hbs,hbs,818,Hbs (STR_PUR_COVERED_WAGON) (Railship),Hbs-yleisvaunu (Railship),1975,30,100,,WOOD,"CC_EXPRESS, CC_PIECE_GOODS, CC_HAZARDOUS, CC_COVERED","CC_REFRIGERATED, CC_OVERSIZED",24,,5,185,16,11,"$2,750 ","$48,000 ",0.15,4,$81.25 ,100.00%,0.00%,0.00%,33.33%,-,1,,,Yes,,vaunut.org,,,,2
Hbbis,hbbis,819,Hbbis (STR_PUR_COVERED_WAGON) (Railship),Hbbis-yleisvaunu (Railship),1984,30,100,,WOOD,"CC_EXPRESS, CC_PIECE_GOODS, CC_HAZARDOUS, CC_COVERED","CC_REFRIGERATED, CC_OVERSIZED",30,,5,185,15,12,"$3,000 ","$50,000 ",0.15,4,$81.25 ,100.00%,0.00%,0.00%,33.33%,-,1,,,Yes,,vaunut.org,,,,2
Hbbins,hbbins,820,Hbbins (STR_PUR_COVERED_WAGON) (Railship),Hbbins-yleisvaunu (Railship),1985,30,100,,WOOD,"CC_EXPRESS, CC_PIECE_GOODS, CC_HAZARDOUS, CC_COVERED","CC_REFRIGERATED, CC_OVERSIZED",30,,5,185,15,13,"$3,250 ","$52,000 ",0.15,4,$81.25 ,100.00%,0.00%,0.00%,33.33%,-,1,,,Yes,,vaunut.org,,,,2
Sins,sins,821,Sins (STR_PUR_SLIDING_ROOF_WAGON) (Railship),Sins-siirtokatevaunu (Railship),1985,30,100,,WOOD,"CC_EXPRESS, CC_PIECE_GOODS, CC_HAZARDOUS, CC_COVERED","CC_REFRIGERATED, CC_OVERSIZED",62,,5,185,28,24,"$6,000 ","$86,000 ",0.15,6,$121.88 ,100.00%,0.00%,0.00%,33.33%,-,1,,,Yes,,vaunut.org,,,K16 / LHB 82,2'2'
Laais 921,laais,822,Laais 921 (STR_PUR_SLIDING_ROOF_WAGON) (SeaRail),Laais 921-siirtokatevaunu (SeaRail),1975,50,100,,WOOD,"CC_EXPRESS, CC_PIECE_GOODS, CC_HAZARDOUS, CC_COVERED","CC_REFRIGERATED, CC_OVERSIZED",64,,5,231,26,15,"$3,750 ","$94,500 ",0.15,6,$121.88 ,100.00%,100.00%,100.00%,100.00%,"Kyosuke1989
Originals by
Wile E.Coyote",2,1985 onwards Nordwaggon livery,3,Planned,,vaunut.org,,,,2+2
Vgk,vgk,823,Vgk (STR_PUR_COVERED_WAGON) (SZD/RZD),Vgk-yleisvaunu (SZD/RZD),1960,INF,80,,WOOD,"CC_EXPRESS, CC_PIECE_GOODS, CC_HAZARDOUS, CC_COVERED","CC_REFRIGERATED, CC_OVERSIZED",68,,5,185,24,13,"$3,250 ","$82,500 ",0.15,6,$121.88 ,100.00%,100.00%,100.00%,100.00%,"Kyosuke1989
Originals by
Wile E.Coyote",2,Random livery,,Yes,Random livery,vaunut.org,,USSR,CNII-H3-0,2'2'
Vggk,vggk,824,Vggk (STR_PUR_REFRIGERATED_WAGON) (SZD/RZD),Vggk-jaahdytysvaunu (SZD/RZD),1967,INF,120,,WOOD,CC_REFRIGERATED,,42,,5,740,40,14,"$3,500 ","$86,000 ",0.15,6,$121.88 ,100.00%,100.00%,100.00%,100.00%,xUSSR team,,,,Planned,"A/C unit, large tare",vaunut.org,,USSR,CNII-H3-0,2'2'
,,825,,,,,,,,,,,,,,,,,,,,,100.00%,92.86%,96.43%,96.43%,,,,,,,,,,,
Automobile carriers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hab,hab,826,Hab (STR_PUR_AUTOMOBILE_CARRIER),Hab-autovaunu,1960,35,85,VEHI,,,,40,,5,370,20,11,"$2,750 ","$70,000 ",0.1,4,$81.25 ,100.00%,0.00%,50.00%,50.00%,-,1,,,,"When VEHI refitted, capacity 8 VEHI",vaunut.org,,,,2
Vgkak,vgkak,827,Vgkak (STR_PUR_AUTOMOBILE_CARRIER) (SZD/RZD),Vgkak-autovaunu (SZD/RZD),1984,INF,120,VEHI,,,,15,,5,370,35,15,"$3,750 ","$91,000 ",0.1,4,$81.25 ,100.00%,0.00%,50.00%,50.00%,-,,,,,Car carrier,vaunut.org,,USSR,CNII-H3-0,2'2'
Gfoss,gfoss,828,Gfoss (STR_PUR_AUTOMOBILE_CARRIER),Gfoss-autovaunu,1994,30,120,VEHI,,,,56,,5,370,44,14,"$3,500 ","$85,000 ",0.15,6,$121.88 ,100.00%,0.00%,50.00%,50.00%,-,1,,,,"When VEHI refitted, capacity 12 VEHI",vaunut.org,,VR Psl Knp,K16,2'2'
,,,,,,,,,,,,,,,,,,,,,,,100.00%,0.00%,50.00%,50.00%,,,,,,,,,,,
Flat Wagons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H,h,829,H (STR_PUR_FLAT_WAGON),H-yleisavovaunu,1870,60,65,,LVST,"CC_EXPRESS, CC_PIECE_GOODS, CC_HAZARDOUS, CC_OVERSIZED","CC_REFRIGERATED, CC_COVERED",14,,5,185,6,8,"$2,000 ","$50,000 ",0.05,2,$40.63 ,100.00%,100.00%,100.00%,100.00%,"juzza1, DanMacK",1,,4,Yes,"Possibly merger with Hdk
",vaunut.org,,,,2
O/Ok,o,830,O (STR_PUR_FLAT_WAGON),O-yleisavovaunu,1878,50,60,,LVST,"CC_EXPRESS, CC_PIECE_GOODS, CC_HAZARDOUS, CC_OVERSIZED","CC_REFRIGERATED, CC_COVERED",22,,5,185,15,8,"$2,000 ","$50,000 ",0.05,2,$40.63 ,100.00%,25.00%,50.00%,58.33%,,1,,,Yes,"Capacity increases to 30T in 1920 (updated to Ok)
",vaunut.org,,,,2
Hdk,hdk,831,Hdk (STR_PUR_FLAT_WAGON),Hdk-yleisavovaunu,1928,50,80,,LVST,"CC_EXPRESS, CC_PIECE_GOODS, CC_HAZARDOUS, CC_OVERSIZED","CC_REFRIGERATED, CC_COVERED",19,,5,185,9,9,"$2,250 ","$55,000 ",0.05,2,$40.63 ,100.00%,100.00%,100.00%,100.00%,DanMacK,1,,,Yes,"Possible merger with H
",vaunut.org,,,,2
Hkb ,hkb,832,Hkb (STR_PUR_FLAT_WAGON),Hkb-yleisavovaunu,1970,INF,100,,"LVST, WOOD","CC_EXPRESS, CC_PIECE_GOODS, CC_HAZARDOUS, CC_OVERSIZED","CC_REFRIGERATED, CC_COVERED",27,,5,185,13,9,"$2,250 ","$55,000 ",0.1,4,$81.25 ,100.00%,100.00%,100.00%,100.00%,"DanMacK, Kyosuke1989",1,,4,Yes,,vaunut.org,,VR Psl Knp,,2
Occ,occ,833,Occ (STR_PUR_FLAT_WAGON),Occ-yleisavovaunu,1970,INF,100,,"LVST, WOOD","CC_EXPRESS, CC_PIECE_GOODS, CC_HAZARDOUS, CC_OVERSIZED","CC_REFRIGERATED, CC_COVERED",58,,5,185,22,15,"$3,750 ","$93,500 ",0.15,6,$121.88 ,100.00%,100.00%,100.00%,100.00%,"juzza1, DanMacK",1,,3,Yes,"
",vaunut.org,,VR Psl Knp,K14,2'2'
Ocpp,ocpp,834,Ocpp (STR_PUR_TIMBER_WAGON),Ocpp-raakapuuvaunu,1970,INF,100,WOOD,,,,58,,5,231,22,15,"$3,750 ","$93,500 ",0.15,6,$121.88 ,100.00%,100.00%,100.00%,100.00%,"juzza1, DanMacK",1,,,Yes,,vaunut.org,,VR Psl Knp,K14,2'2'
Kbp,kbp,835,Kbp (STR_PUR_FLAT_WAGON),Kbp-yleisavovaunu,1984,INF,120,,"LVST, WOOD","CC_EXPRESS, CC_PIECE_GOODS, CC_HAZARDOUS, CC_OVERSIZED","CC_REFRIGERATED, CC_COVERED",32,,5,185,14,11,"$2,750 ","$66,000 ",0.1,4,$81.25 ,100.00%,0.00%,50.00%,50.00%,-,1,,,Yes,"MNSP machinery
FMSP ponsse forest tractor",vaunut.org,,VR Psl Knp,,2
Sp,sp,836,Sp (STR_PUR_TIMBER_WAGON),Sp-raakapuuvaunu,1988,INF,100,WOOD,,,,60,,5,231,20,15,"$3,750 ","$93,500 ",0.15,6,$121.88 ,100.00%,0.00%,50.00%,50.00%,,1,,,Yes,,vaunut.org,,VR Psl Knp,K14,2'2'
Lgjn,lgjn,837,Lgjn (STR_PUR_CONTAINER_WAGON),Lgjn-konttivaunu,1989,INF,120,,"LVST, WOOD","CC_EXPRESS, CC_PIECE_GOODS, CC_HAZARDOUS","CC_REFRIGERATED, CC_COVERED, CC_OVERSIZED",32,,5,185,13,13,"$3,250 ","$83,000 ",0.1,4,$81.25 ,100.00%,100.00%,100.00%,100.00%,"juzza1, DanMacK",1,,,Yes,"Houses one 20""-40"" Container
All in containers",vaunut.org,,VR Psl Knp,,2
Sdm,sdm,838,Sdm (STR_PUR_COMBINED_TRANSPORT_WAGON),"Sdm, yhdistettyjen kuljetusten vaunu",1989,INF,100,,"LVST, WOOD","CC_EXPRESS, CC_BULK, CC_PIECE_GOODS, CC_LIQUID, CC_REFRIGERATED, CC_HAZARDOUS, CC_COVERED, CC_OVERSIZED, CC_POWDERIZED",,56,,5,185,24,11,"$2,750 ","$69,000 ",0.15,6,$121.88 ,100.00%,0.00%,50.00%,50.00%,,1,,,Yes,"Possible merger with Sgm
Can haul 2 20"" Containers or 1 40"" Container
All but VEHI in container",vaunut.org,,VR Psl Knp,K14,2'2'
Shmmn,shmmn,839,Shmmn (STR_PUR_STEEL_COIL_WAGON),Shmmn-teraskelavaunu,1997,INF,100,"STEL, STAL, STCB, STST",,,,67,,5,231,23,17,"$4,250 ","$105,000 ",0.15,6,$121.88 ,100.00%,25.00%,50.00%,58.33%,DanMacK,1,,,Yes,,vaunut.org,,VR Psl Knp,K14,2'2'
Shimmn,shimmn,840,Shimmn (STR_PUR_STEEL_COIL_WAGON),Shimmn-teraskelavaunu,1997,INF,120,"STEL, STAL, STCB, STST",,,,62,,5,231,28,17,"$4,250 ","$102,000 ",0.15,6,$121.88 ,100.00%,25.00%,50.00%,58.33%,DanMacK,1,,,Yes,,vaunut.org,,VR Psl Knp,K16,2'2'
Sgm,sgm,841,Sgm (STR_PUR_CONTAINER_WAGON),Sgm-konttivaunu,1997,INF,120,,"LVST, WOOD","CC_EXPRESS, CC_PIECE_GOODS, CC_HAZARDOUS, CC_COVERED","CC_REFRIGERATED, CC_OVERSIZED",60,,5,185,20,17,"$4,250 ","$102,500 ",0.15,6,$121.88 ,100.00%,0.00%,50.00%,50.00%,-,1,,,Yes,Possible merger with Sdm,vaunut.org,,VR Psl Knp,K14,2'2'
Sgn,,842,Sgn Wood Chip (STR_PUR_WOOD_CHIP_CONTAINER_WAGON),Sgn-hakekonttivaunu,1997,INF,100,"PEAT, WDPR",,,,61,,5,231,19,16,"$4,000 ","$101,000 ",0.15,6,$121.88 ,100.00%,0.00%,0.00%,33.33%,-,1,,,Yes,"Occ should be used as sprite base
In containers",vaunut.org,,VR Psl Knp,K14,2'2'
Sdggnqss-w,sdggnqssw,843,Sdggnqss-w (STR_PUR_COMBINED_TRANSPORT_WAGON),"Sdggnqss-w, yhdistettyjen kuljetusten vaunu",2003,INF,120,,,"CC_EXPRESS, CC_BULK, CC_PIECE_GOODS, CC_LIQUID, CC_REFRIGERATED, CC_HAZARDOUS, CC_COVERED, CC_OVERSIZED, CC_POWDERIZED",,69,,5,185,31,18,"$4,500 ","$110,500 ",0.2,8,$162.50 ,100.00%,0.00%,50.00%,50.00%,-,1,,,Yes,"Combined ""piggyback"" transport",vaunut.org,,VR Pm Knp,K17,2'2'
Snpss,snpss,844,Snpss (STR_PUR_TIMBER_WAGON),Snpss-raakapuuvaunu,2007,INF,120,WOOD,,,,66,,5,231,25,16,"$4,000 ","$101,500 ",0.15,6,$121.88 ,100.00%,100.00%,100.00%,100.00%,DanMacK,1,,,Yes,Truck & trailer,vaunut.org,,VR Pm Knp,K16,2'2'
Shmmns-tw,shmmnstw,845,Shmmns-tw (STR_PUR_STEEL_COIL_WAGON),"Shmnns-tw, teraskelavaunu",2008,INF,120,"STEL, STAL, STCB, STST",,,,77,,5,231,24,17,"$4,250 ","$106,000 ",0.2,8,$162.50 ,100.00%,0.00%,50.00%,50.00%,-,1,,,Yes,,vaunut.org,,VR Pm Knp,K17,2'2'
Sg-t,sgt,846,Sg-t (STR_PUR_CONTAINER_WAGON),"Sg-t, konttivaunu",2009,INF,100,,"LVST, WOOD","CC_EXPRESS, CC_PIECE_GOODS, CC_HAZARDOUS","CC_REFRIGERATED, CC_COVERED, CC_OVERSIZED",61,,5,185,20,16,"$4,000 ","$98,000 ",0.15,6,$121.88 ,100.00%,0.00%,50.00%,50.00%,-,1,,,Yes,"Longer Innofreight Containers 
All in containers",vaunut.org,,VR Pm Knp,K14,2'2'
Sgmmns-w,sgmmnsw,847,Sgmmns-w (STR_PUR_HEAVY_LOAD_CONTAINER_WAGON),"Sgmmns-w, kontti- ja jarean tavaran vaunu",2009,40,100,,"LVST, WOOD","CC_EXPRESS, CC_PIECE_GOODS, CC_HAZARDOUS, CC_OVERSIZED","CC_REFRIGERATED, CC_COVERED",61,,5,185,20,16,"$4,000 ","$99,000 ",0.15,6,$121.88 ,100.00%,0.00%,50.00%,50.00%,-,1,,,Yes,Shorter Innofreight Containers,vaunut.org,,VR Pm Knp,K17,2'2'
Laas,laas,848,Laas (STR_PUR_FLAT_WAGON) (Railship),Laas-avovaunu (Railship),1974,40,100,,"LVST, WOOD","CC_EXPRESS, CC_PIECE_GOODS, CC_HAZARDOUS, CC_OVERSIZED","CC_REFRIGERATED, CC_COVERED",54,,5,185,26,12,"$3,000 ","$81,000 ",0.15,6,$121.88 ,,,,,-,1,,,Yes,Double wagon,vaunut.org,,,,2+2
Shimms,shimms,849,Shimms (STR_PUR_STEEL_COIL_WAGON) (SeaRail),Shimms-teraskelavaunu (SeaRail),1974,50,100,"STEL, STAL, STCB, STST",,,,63,,5,231,27,14,"$3,500 ","$94,000 ",0.15,6,$121.88 ,100.00%,0.00%,50.00%,50.00%,-,1,,,Yes,,vaunut.org,,,K16 / LHB 82,2'2'
Shimmns,shimmns,850,Shimmns (STR_PUR_STEEL_COIL_WAGON) (SeaRail),Shimmns-teraskelavaunu (SeaRail),1994,50,100,"STEL, STAL, STCB, STST",,,,67,,5,231,23,15,"$3,750 ","$94,000 ",0.15,6,$121.88 ,100.00%,0.00%,50.00%,50.00%,-,1,,,Yes,,vaunut.org,,,K16 / LHB 82,2'2'
Rilns,rilns,851,Rilns (STR_PUR_LUMBER_WAGON) (SeaRail),Rilns-sahatavaravaunu (SeaRail),1974,50,100,"BDMT, ENSP, MNSP, PAPR, WDPR",,,,64,,5,231,26,15,"$3,750 ","$93,500 ",0.2,8,$162.50 ,100.00%,0.00%,50.00%,50.00%,-,1,,,Yes,,vaunut.org,,,K16 / LHB 82,2'2'
Smnps,smnps,852,Smnps (STR_PUR_FLAT_WAGON) (SeaRail),Smnps-yleisavovaunu (SeaRail),1974,50,120,,"LVST, WOOD","CC_EXPRESS, CC_PIECE_GOODS, CC_HAZARDOUS, CC_OVERSIZED","CC_REFRIGERATED, CC_COVERED",66,,5,185,23,15,"$3,750 ","$95,500 ",0.2,8,$162.50 ,100.00%,100.00%,100.00%,100.00%,"Kyosuke1989
Originals by
Wile E.Coyote",1,,2,Yes,Tractors etc.,vaunut.org,,,K16 / LHB 82,2'2'
Snps,snps,853,Snps (STR_PUR_FLAT_WAGON) (SeaRail),Snps-yleisavovaunu (SeaRail),1980,50,100,,"LVST, WOOD","CC_EXPRESS, CC_PIECE_GOODS, CC_HAZARDOUS, CC_OVERSIZED","CC_REFRIGERATED, CC_COVERED",62,,5,185,29,14,"$3,500 ","$87,500 ",0.15,6,$121.88 ,100.00%,0.00%,50.00%,50.00%,-,1,,,Yes,"20"" Container",vaunut.org,,,K16 / LHB 82,2'2'
Rs,rs,854,Rs (STR_PUR_FLAT_WAGON) (SeaRail),Rs-yleisavovaunu (SeaRail),1980,50,100,,"LVST, WOOD","CC_EXPRESS, CC_PIECE_GOODS, CC_HAZARDOUS, CC_OVERSIZED","CC_REFRIGERATED, CC_COVERED",58,,5,185,24,16,"$4,000 ","$99,500 ",0.15,6,$121.88 ,100.00%,0.00%,50.00%,50.00%,-,1,,,Yes,,vaunut.org,,,K16 / LHB 82,2'2'
Vo,vo,855,Vo (STR_PUR_FLAT_WAGON) (SZD/RZD),Vo-avovaunu (SZD/RZD),1960,INF,80,,"LVST, WOOD","CC_EXPRESS, CC_PIECE_GOODS, CC_HAZARDOUS, CC_OVERSIZED","CC_REFRIGERATED, CC_COVERED",70,,5,185,21,14,"$3,500 ","$85,000 ",0.2,8,$162.50 ,100.00%,100.00%,100.00%,100.00%,"juzza1, xUSSR team",,,,Yes,"Some do have low brims, Flat Wagon, piece cargo",vaunut.org,,USSR,CNII-H3-0,2'2'
Vof,vof,856,Vof (STR_PUR_CONTAINER_WAGON) (SZD/RZD),Vof-konttivaunu (SZD/RZD),1970,INF,80,,"LVST, WOOD","CC_EXPRESS, CC_PIECE_GOODS, CC_HAZARDOUS","CC_REFRIGERATED, CC_COVERED, CC_OVERSIZED",66,,5,185,21,14,"$3,500 ","$87,500 ",0.2,8,$162.50 ,100.00%,100.00%,100.00%,100.00%,"Kyosuke1989
Originals by
Wile E.Coyote",4,,4,Yes,Container Wagon,vaunut.org,,USSR,CNII-H3-0,2'2'
Vop,vop,857,Vop (STR_PUR_TIMBER_WAGON) (SZD/RZD),Vop-raakapuuvaunu (SZD/RZD),1970,50,80,WOOD,,,,73,,5,231,21,16,"$4,000 ","$101,000 ",0.2,8,$162.50 ,100.00%,0.00%,50.00%,50.00%,-,,,,Yes,,vaunut.org,,USSR,CNII-H3-0,2'2'
Vosk (large),vosk_large,858,Vosk (STR_PUR_FLAT_WAGON_LARGER) (SZD/RZD),Vosk-syvakuormavaunu (iso) (SZD/RZD),1975,INF,80,,,CC_OVERSIZED,CC_COVERED,120,,5,185,68,58,"$14,500 ","$350,000 ",0.3,12,$243.75 ,100.00%,0.00%,50.00%,50.00%,-,,,,Yes,,vaunut.org,,USSR,CNII-H3-0,2'2'2'2'
Vosk (small),vosk_small,859,Vosk (STR_PUR_FLAT_WAGON_SMALLER) (SZD/RZD),Vosk-syvakuormavaunu (pieni) (SZD/RZD),1975,INF,80,,,CC_OVERSIZED,CC_COVERED,55,,5,185,39,20,"$5,000 ","$125,000 ",0.25,10,$203.13 ,100.00%,0.00%,50.00%,50.00%,-,,,,Yes,,vaunut.org,,USSR,CNII-H3-0,2'2'
