name,id,num_id,long_name,int_y,veh_life,model_life,rel_decay,speed,power,te_kn,Tractive Effort (kp),te_coef,weight,Purchase cost (real),Purchase cost (ingame),pur_cost,"Running cost (real, est, /km)",Running cost (ingame),run_cost,Stats,Drawn,Coded,Total,Sounds,Artist,Liveries,Paint scheme change table,Misc data,ADD_TEXT,STR_ADD_SERVICE,STR_ADD_MANUFACTURER,STR_ADD_UIC_AXLE_ORDER,STR_ADD_PRIME_MOVER,STR_ADD_TRACTION_MOTORS,STR_ADD_TRANSMISSION,STR_ADD_REGEARING
Tve4,tve4,123,Tve4 'Keltasirkku' (STR_PUR_DIESEL),1978,40,40,20,75,290,132,,0.388,34,"$750,000 ","$46,875 ",15,0.78,$690.63 ,34,100%,100%,100%,100%,100%,"Kyosuke1989, DanMacK",1,,,,"STR_ADD_SHUNTING, STR_ADD_LIGHT_FREIGHT",Valmet,B,Scania DS14 02 A 04,,STR_ADD_HYDRAULIC: Clark C8612-8420,
Tve5,tve5,124,"Tve5 ""Nalle"" (STR_PUR_DIESEL)",1978,40,40,20,20,165,50,,0.323,15.5,"$300,000 ","$18,750 ",6,0.3,$264.06 ,13,100%,0%,50%,50%,0%,,1,,,,STR_ADD_SHUNTING,Saalasti,B,Scania D11 01 A 05,,STR_ADD_HYDRAULIC: BW & S,
Dr15,dr15,125,Dr15 'Rahtilaiva' (STR_PUR_DIESEL),1980,30,30,20,140,2600,340,,0.279,122,"$2,900,000 ","$181,250 ",58,3.17,"$2,762.50 ",136,100%,100%,100%,100%,0%,Purno,1,,,,"STR_ADD_HEAVY_FREIGHT, STR_ADD_EXPRESS_PASSENGERS",Lokomo / VR Hy Knp,Co'Co',Wartsila 12 V 22,6x Stromberg-BBC GHAU 973,STR_ADD_ELECTRIC: Stromberg AC/DC Thyristor control,
Move67,move67,126,Move 67 (STR_PUR_DIESEL),1981,40,40,20,75,385,110,,0.275,40,"$850,000 ","$53,125 ",17,0.77,$670.31 ,33,100%,100%,100%,100%,100%,"juzza1, DanMacK, Kyosuke1989",1,,Tve4 sounds,,"STR_ADD_SHUNTING, STR_ADD_LIGHT_FREIGHT",Valmet,C,Scania DS14,,STR_ADD_HYDRAULIC: Clark C8612-8420,
Dr16,dr16,127,Dr16 'Iso Vaalee' (STR_PUR_DIESEL),1985,40,INF,20,140,2280,280,,0.341,82,"$3,000,000 ","$187,500 ",60,2.83,"$2,478.13 ",122,100%,100%,100%,100%,100%,"juzza1, DanMacK",2,2011 onwards green livery,,,STR_ADD_GENERAL_PURPOSE,Valmet / Transtech,Bo'Bo',Pielstick 12PA4-V-200VG,4x Stromberg HHUU 7044P3,STR_ADD_ELECTRIC: Stromberg AC/AC VFD,
M 2200 D2,m2200d2,128,M2200D2 (STR_PUR_DIESEL),1985,40,40,20,160,2950,270,,0.321,84,"$3,600,000 ","$225,000 ",72,3.6,"$3,148.44 ",155,100%,100%,100%,100%,100%,Kyosuke1989,1,,,,"STR_ADD_HEAVY_FREIGHT, STR_ADD_EXPRESS_PASSENGERS",Valmet,Bo'Bo',Pielstick 16PA4-V-200VGA,4x Stromberg HHUU 7044P3,STR_ADD_ELECTRIC: Stromberg AC/AC VFD,
N,n,129,N (Dv13)  (STR_PUR_DIESEL),1990,30,30,50,80,975,250,,0.391,64,"$1,600,000 ","$100,000 ",32,1.88,"$1,645.31 ",81,100%,100%,100%,100%,100%,"Kyosuke1989,  DanMacK",2,2006 onwards yellow livery option,,,"STR_ADD_SHUNTING, STR_ADD_MEDIUM_FREIGHT",Valmet,Bo'Bo',Caterpillar 3508 TA,8x Stromberg,STR_ADD_ELECTRIC: Stromberg AC/AC VFD,
"Dr18
",d7447f,130,Dr18 (744.7f) (STR_PUR_DIESEL),2015,40,40,20,90,2079,391,,0.326,120,"$2,600,000 ","$162,500 ",52,1.88,"$1,645.31 ",81,100%,100%,100%,100%,100%,juzza1,1,,,,"STR_ADD_HEAVY_SHUNTING, STR_ADD_HEAVY_FREIGHT",CZ Loko,Co'Co',Caterpillar 3512 C HD,6x CKD TE 006,STR_ADD_ELECTRIC: Siemens AC/DC,
Dr19,dr19,131,Dr19 (STR_PUR_DIESEL),2022,40,INF,20,120,2548,346,,0.393,88,"$2,600,000 ","$162,500 ",52,1.88,"$1,645.31 ",81,75%,0%,0%,25%,100%,,1,,,,"STR_ADD_HEAVY_SHUNTING, STR_ADD_HEAVY_FREIGHT","Stadler Rail Valencia, S.A.U.",Bo'Bo',,,,
,,,,,,,,,,,,,,,,,,,,Total,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,97%,85%,92%,91%,78%,,,,,,,,,,,,
